"","ESCUELA","MUNICIPIO","NOM_MUN","CLAVE.CARR","CARRERA","nuevo.ingreso.TOTAL","egresos.TOTAL","titulados.TOTAL","categoria.carrera"
"2100","INSTITUTO TECNOLOGICO MARIO MOLINA CAMPUS ZAPOPAN",120,"ZAPOPAN",5042100050,"INGENIERÍA EN GESTIÓN EMPRESARIAL",60,90,30,"50421"
"2101","INSTITUTO TECNOLOGICO MARIO MOLINA CAMPUS ZAPOPAN",120,"ZAPOPAN",5042100050,"INGENIERÍA EN GESTIÓN EMPRESARIAL",25,1,0,"50421"
"2102","INSTITUTO TECNOLOGICO MARIO MOLINA CAMPUS ZAPOPAN",120,"ZAPOPAN",5061300046,"INGENIERÍA EN SISTEMAS COMPUTACIONALES",114,55,25,"50613"
"2103","INSTITUTO TECNOLOGICO MARIO MOLINA CAMPUS ZAPOPAN",120,"ZAPOPAN",5071300028,"INGENIERÍA ELECTROMECÁNICA",88,50,15,"50713"
"2104","INSTITUTO TECNOLOGICO MARIO MOLINA CAMPUS ZAPOPAN",120,"ZAPOPAN",5071300038,"INGENIERÍA ELECTRÓNICA",18,13,3,"50713"
"2105","INSTITUTO TECNOLOGICO MARIO MOLINA CAMPUS ZAPOPAN",120,"ZAPOPAN",5071700019,"INGENIERÍA INDUSTRIAL",116,173,25,"50717"
"2106","INSTITUTO TECNOLOGICO MARIO MOLINA CAMPUS ZAPOPAN",120,"ZAPOPAN",5073200005,"INGENIERÍA CIVIL",90,61,0,"50732"
"2107","INSTITUTO TECNOLOGICO MARIO MOLINA CAMPUS ZAPOPAN",120,"ZAPOPAN",5101500006,"LICENCIATURA EN GASTRONOMÍA",67,121,27,"51015"
"2108","INSTITUTO TECNOLOGICO MARIO MOLINA CAMPUS ZAPOPAN",120,"ZAPOPAN",7061300009,"MAESTRÍA EN SISTEMAS COMPUTACIONALES",9,3,0,"70613"
"2109","INSTITUTO TECNOLOGICO MARIO MOLINA CAMPUS PUERTO VALLARTA",67,"PUERTO VALLARTA",5042100050,"INGENIERÍA EN GESTIÓN EMPRESARIAL",105,81,53,"50421"
"2110","INSTITUTO TECNOLOGICO MARIO MOLINA CAMPUS PUERTO VALLARTA",67,"PUERTO VALLARTA",5042100050,"INGENIERÍA EN GESTIÓN EMPRESARIAL",0,2,0,"50421"
"2111","INSTITUTO TECNOLOGICO MARIO MOLINA CAMPUS PUERTO VALLARTA",67,"PUERTO VALLARTA",5061000007,"INGENIERÍA EN TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIÓN",0,6,2,"50610"
"2112","INSTITUTO TECNOLOGICO MARIO MOLINA CAMPUS PUERTO VALLARTA",67,"PUERTO VALLARTA",5061300046,"INGENIERÍA EN SISTEMAS COMPUTACIONALES",67,17,22,"50613"
"2113","INSTITUTO TECNOLOGICO MARIO MOLINA CAMPUS PUERTO VALLARTA",67,"PUERTO VALLARTA",5071300028,"INGENIERÍA ELECTROMECÁNICA",98,47,37,"50713"
"2114","INSTITUTO TECNOLOGICO MARIO MOLINA CAMPUS PUERTO VALLARTA",67,"PUERTO VALLARTA",5073100005,"ARQUITECTURA",79,35,3,"50731"
"2115","INSTITUTO TECNOLOGICO MARIO MOLINA CAMPUS PUERTO VALLARTA",67,"PUERTO VALLARTA",5101500006,"LICENCIATURA EN GASTRONOMÍA",65,34,6,"51015"
"2116","INSTITUTO TECNOLOGICO MARIO MOLINA CAMPUS PUERTO VALLARTA",67,"PUERTO VALLARTA",5101600013,"LICENCIATURA EN TURISMO",114,14,10,"51016"
"2117","INSTITUTO TECNOLOGICO MARIO MOLINA CAMPUS PUERTO VALLARTA",67,"PUERTO VALLARTA",7042000002,"MAESTRÍA EN ADMINISTRACIÓN",18,0,1,"70420"
"2118","INSTITUTO TECNOLOGICO MARIO MOLINA CAMPUS ARANDAS",8,"ARANDAS",5042100050,"INGENIERÍA EN GESTIÓN EMPRESARIAL",89,41,0,"50421"
"2119","INSTITUTO TECNOLOGICO MARIO MOLINA CAMPUS ARANDAS",8,"ARANDAS",5061300046,"INGENIERÍA EN SISTEMAS COMPUTACIONALES",40,16,0,"50613"
"2120","INSTITUTO TECNOLOGICO MARIO MOLINA CAMPUS ARANDAS",8,"ARANDAS",5071300028,"INGENIERÍA ELECTROMECÁNICA",63,17,0,"50713"
